N,cuBLAS_T,CPU128_T,Hybrid_T,cuBLAS_R,CPU128_R,Hybrid_R,SplitNum
32,0.023552,0.009768,46.04,4.87e-15,7.82316e-34,4.51671e-34,14
64,0.032768,0.019487,0.434872,4.87e-15,1.67899e-33,1.21807e-33,14
128,0.011136,0.059734,0.676941,4.87e-15,6.8418e-33,4.13066e-33,14
256,0.009216,0.223454,1.19267,4.87e-15,1.44278e-32,4.45885e-33,14
512,0.011264,0.719285,2.11575,4.87e-15,5.41155e-32,1.39094e-32,14
1024,0.019456,2.91373,7.6679,4.87e-15,1.60539e-31,2.25655e-32,14
2048,0.062464,11.6745,10.2068,4.87e-15,4.88393e-31,5.64636e-32,14
4096,0.198656,46.3142,27.8525,4.87e-15,1.43828e-30,1.81376e-31,14
8192,0.68608,124.084,86.6914,4.87e-15,3.97866e-30,4.34796e-31,14
16384,2.44614,498.459,263.455,4.87e-15,1.09721e-29,8.82522e-31,14
